velocity,skill,energy_consumption
75,Glue Type B,7.763968845
75,Glue Type B,8.907675608
60,Glue Type B,9.694551086
75,Glue Type B,6.992823022
50,Glue Type A,11.28215084
50,Glue Type A,8.998819453
50,Glue Type B,10.92536588
75,Glue Type B,10.13937894
60,Glue Type A,7.165356783
50,Glue Type A,8.09969955
60,Glue Type A,7.832504286
50,Glue Type A,8.803324544
50,Glue Type A,7.724869845
40,Glue Type B,14.23325367
50,Glue Type A,8.506213042
50,Glue Type A,9.081097524
50,Glue Type A,8.420932211
50,Glue Type A,10.562758
60,Glue Type B,9.684966448
75,Glue Type B,8.809907189
40,Glue Type B,13.24539192
40,Glue Type B,13.8818883
60,Glue Type B,10.99512631
75,Glue Type A,7.288096187
40,Glue Type A,11.99789286
75,Glue Type B,8.570705735
75,Glue Type A,6.11381208
40,Glue Type A,11.4975468
50,Glue Type A,10.83109817
60,Glue Type B,9.796123342
60,Glue Type A,6.750917676
50,Glue Type A,8.9515584
50,Glue Type A,8.218029948
60,Glue Type B,8.630901774
75,Glue Type A,6.260036728
60,Glue Type B,9.685721351
75,Glue Type A,8.300067262
60,Glue Type A,7.149077991
50,Glue Type B,11.65997043
50,Glue Type A,10.6335101
75,Glue Type B,8.537999694
40,Glue Type B,13.42679961
40,Glue Type B,13.14649633
40,Glue Type B,13.95956194
60,Glue Type A,7.645758961
40,Glue Type A,10.53336888
40,Glue Type B,14.35994741
75,Glue Type A,7.220647237
50,Glue Type A,7.944457968
40,Glue Type A,9.701574092
40,Glue Type A,10.19519279
60,Glue Type B,8.793240974
50,Glue Type A,8.904271948
50,Glue Type A,8.214206318
40,Glue Type B,13.93088193
50,Glue Type A,10.50443186
75,Glue Type A,4.994192835
40,Glue Type B,12.29644972
60,Glue Type B,9.264655477
50,Glue Type B,10.13104872
75,Glue Type A,6.401061471
50,Glue Type B,12.42218917
50,Glue Type A,7.178274753
40,Glue Type B,11.60429445
50,Glue Type A,8.255554294
60,Glue Type A,7.744144587
60,Glue Type A,9.408677363
40,Glue Type B,13.84285655
60,Glue Type B,9.011950047
75,Glue Type A,7.337878408
40,Glue Type B,12.73164992
60,Glue Type A,8.396718707
60,Glue Type A,6.766370805
50,Glue Type A,9.63704153
40,Glue Type A,9.361226936
60,Glue Type A,6.716220463
50,Glue Type A,10.97525941
40,Glue Type B,11.76330776
60,Glue Type B,9.216884345
60,Glue Type B,10.06616836
75,Glue Type A,6.116564148
60,Glue Type A,7.278434199
50,Glue Type B,12.1779958
60,Glue Type B,8.793831691
75,Glue Type A,7.326992607
60,Glue Type A,6.590164499
75,Glue Type A,5.659557658
40,Glue Type B,14.11145251
60,Glue Type A,7.558577991
75,Glue Type A,5.508784623
60,Glue Type A,8.367821934
75,Glue Type B,8.865551805
40,Glue Type A,11.55146167
60,Glue Type B,10.14073299
75,Glue Type A,6.099001113
40,Glue Type A,12.52931493
60,Glue Type A,7.449406829
75,Glue Type B,8.76119774
60,Glue Type B,11.06078671
60,Glue Type A,7.144503787
40,Glue Type A,11.74596517
40,Glue Type A,11.60023025
50,Glue Type B,10.87625101
60,Glue Type B,9.664861235
75,Glue Type A,5.081679739
50,Glue Type A,9.364360699
60,Glue Type B,9.852906867
40,Glue Type A,11.56457611
50,Glue Type A,8.038247586
60,Glue Type B,9.342135917
60,Glue Type A,6.595453323
75,Glue Type B,7.925802237
75,Glue Type A,5.147274258
50,Glue Type A,9.563968814
50,Glue Type B,11.29282465
75,Glue Type A,6.906522091
50,Glue Type A,9.211176745
40,Glue Type B,15.11162534
50,Glue Type B,10.51448769
60,Glue Type A,7.595133626
75,Glue Type B,7.257850584
75,Glue Type A,5.84256307
75,Glue Type B,7.592928804
75,Glue Type B,8.912926245
75,Glue Type A,6.051682777
40,Glue Type B,14.31137997
60,Glue Type A,8.250942317
50,Glue Type B,12.72277953
40,Glue Type A,8.905488403
75,Glue Type B,9.785309521
50,Glue Type A,9.582535365
60,Glue Type B,9.850132521
75,Glue Type B,9.382454087
50,Glue Type B,12.82037534
40,Glue Type B,13.91476171
60,Glue Type B,8.335594654
50,Glue Type B,11.04868152
40,Glue Type A,11.57202721
60,Glue Type B,10.30718127
40,Glue Type B,13.64104107
75,Glue Type B,8.520628758
50,Glue Type B,11.10651337
50,Glue Type A,10.91989808
75,Glue Type B,7.599172214
40,Glue Type A,11.70623862
40,Glue Type B,13.16237156
40,Glue Type A,9.463302937
40,Glue Type A,12.57447748
40,Glue Type A,12.90438919
50,Glue Type B,11.28939722
75,Glue Type A,7.624091171
50,Glue Type A,8.867014337
60,Glue Type B,9.623232517
60,Glue Type B,10.3425517
75,Glue Type A,6.666497448
40,Glue Type A,11.19932177
40,Glue Type A,13.55762125
60,Glue Type A,8.842750125
40,Glue Type B,14.548976
60,Glue Type A,7.891381357
40,Glue Type B,13.1430648
40,Glue Type A,12.23375544
60,Glue Type B,8.798406012
40,Glue Type A,11.61479254
60,Glue Type A,8.759527521
40,Glue Type B,13.24604114
50,Glue Type B,12.5686885
50,Glue Type B,10.91755803
50,Glue Type B,12.09456836
40,Glue Type A,10.52891449
50,Glue Type B,10.83211361
75,Glue Type A,6.592255884
50,Glue Type B,10.93846517
75,Glue Type A,6.22349391
60,Glue Type A,7.396678355
75,Glue Type B,8.748591116
50,Glue Type B,11.45841054
40,Glue Type B,14.3865548
75,Glue Type A,4.054285883
50,Glue Type A,8.237223312
60,Glue Type A,8.568622699
60,Glue Type B,9.668609354
50,Glue Type B,10.49672774
60,Glue Type B,9.349906235
75,Glue Type A,5.504054968
40,Glue Type B,14.65595398
50,Glue Type A,10.55449771
60,Glue Type A,8.486250814
40,Glue Type B,14.14624652
60,Glue Type B,9.375277159
60,Glue Type B,7.909492179
50,Glue Type B,13.27085625
50,Glue Type B,9.984287278
60,Glue Type A,5.9480964
60,Glue Type A,7.96445447
40,Glue Type A,10.7589937
75,Glue Type B,9.126830782
40,Glue Type B,12.67415978
50,Glue Type A,9.530413734
75,Glue Type B,8.148568474
40,Glue Type A,11.64468684
40,Glue Type A,12.62428786
75,Glue Type B,8.856436415
60,Glue Type A,7.940504726
40,Glue Type A,11.32205182
60,Glue Type A,7.90094062
60,Glue Type A,7.232915412
50,Glue Type B,12.92897665
60,Glue Type A,7.379315068
60,Glue Type B,9.638810251
60,Glue Type B,10.2181551
75,Glue Type A,6.070025881
60,Glue Type B,10.38122439
50,Glue Type B,10.18933328
75,Glue Type A,6.436507741
75,Glue Type A,6.635453668
40,Glue Type B,12.7607485
40,Glue Type B,12.94003835
75,Glue Type B,8.625822092
60,Glue Type B,8.518113308
75,Glue Type B,6.62495983
60,Glue Type A,5.450892393
40,Glue Type B,13.54375872
50,Glue Type A,8.625837546
40,Glue Type B,13.96953223
60,Glue Type B,11.11756411
75,Glue Type B,9.084433587
50,Glue Type B,12.89970918
60,Glue Type B,9.866847096
60,Glue Type A,6.752627229
75,Glue Type B,9.099834183
60,Glue Type B,11.98676592
40,Glue Type A,10.49675301
60,Glue Type B,8.891809685
75,Glue Type B,8.536175796
60,Glue Type A,7.206368669
50,Glue Type A,9.2803532
60,Glue Type A,6.342651446
75,Glue Type A,5.673707344
75,Glue Type A,7.440973248
50,Glue Type B,12.01965202
50,Glue Type A,8.810269958
50,Glue Type B,10.65359793
60,Glue Type A,9.779650025
60,Glue Type B,10.68265698
60,Glue Type A,8.544049054
75,Glue Type B,8.314547836
75,Glue Type A,7.958358851
50,Glue Type A,11.97740979
40,Glue Type B,14.72710479
50,Glue Type B,11.17980816
40,Glue Type A,12.77061143
60,Glue Type B,9.822242891
40,Glue Type B,13.43550726
50,Glue Type A,11.42915415
75,Glue Type B,7.476328885
75,Glue Type A,6.780783877
50,Glue Type A,8.427591438
60,Glue Type A,8.234899766
50,Glue Type A,9.975256193
40,Glue Type A,10.86142496
50,Glue Type B,10.95338832
75,Glue Type B,7.702644199
60,Glue Type A,8.551001912
40,Glue Type A,10.92289854
60,Glue Type B,9.401777921
75,Glue Type B,8.092544956
40,Glue Type B,14.46500332
40,Glue Type B,14.12778037
50,Glue Type B,12.22515034
75,Glue Type A,6.72122603
40,Glue Type B,14.64730583
60,Glue Type B,10.36277699
60,Glue Type A,8.399377945
40,Glue Type A,10.90160413
40,Glue Type B,13.88981142
75,Glue Type A,6.905545528
40,Glue Type B,12.38432627
60,Glue Type A,7.406661718
60,Glue Type A,8.304844587
50,Glue Type B,12.00179871
50,Glue Type A,10.18428416
40,Glue Type B,14.07875077
75,Glue Type B,7.554457806
75,Glue Type A,6.029747861
40,Glue Type B,15.0298382
60,Glue Type B,11.61645967
75,Glue Type B,8.375084178
75,Glue Type B,6.478671864
75,Glue Type A,6.337034796
60,Glue Type B,8.445132726
40,Glue Type B,12.40326771
75,Glue Type B,7.895238295
60,Glue Type B,8.959696179
75,Glue Type B,9.4677629
50,Glue Type A,10.61359521
75,Glue Type A,6.992179544
50,Glue Type B,11.16502452
75,Glue Type B,7.537818423
60,Glue Type B,9.489937205
40,Glue Type B,14.56664264
40,Glue Type A,11.25785271
50,Glue Type B,13.02549131
50,Glue Type B,10.79695397
75,Glue Type B,8.436284935
40,Glue Type A,10.99400006
50,Glue Type B,10.84631517
60,Glue Type B,9.92417943
75,Glue Type B,7.238842322
75,Glue Type A,7.288982503
40,Glue Type A,11.24480755
75,Glue Type B,9.238625666
60,Glue Type A,5.326523115
60,Glue Type B,9.244565601
40,Glue Type A,11.91517876
40,Glue Type A,13.44635768
60,Glue Type A,7.78789237
60,Glue Type A,8.326603031
75,Glue Type B,9.405040301
60,Glue Type A,6.917841311
40,Glue Type B,13.47289543
60,Glue Type B,9.929397338
60,Glue Type A,6.892011593
50,Glue Type B,10.72616011
40,Glue Type B,12.54867685
40,Glue Type B,12.00625012
75,Glue Type A,6.646311377
50,Glue Type B,12.20070358
75,Glue Type A,6.703950504
75,Glue Type A,6.506248528
60,Glue Type B,10.68410324
50,Glue Type B,9.281031961
50,Glue Type B,13.2118346
40,Glue Type A,13.7041328
75,Glue Type B,7.689556004
50,Glue Type A,7.705615839
75,Glue Type B,9.195233437
50,Glue Type A,9.777772438
50,Glue Type B,12.2075791
40,Glue Type B,13.1181113
75,Glue Type B,10.40743514
50,Glue Type B,10.0187203
50,Glue Type A,9.040492291
40,Glue Type B,14.57013343
60,Glue Type A,7.847729258
75,Glue Type B,9.218004494
40,Glue Type A,9.685922482
75,Glue Type B,9.546649417
75,Glue Type B,8.517469751
40,Glue Type A,12.09099888
75,Glue Type A,7.041777543
75,Glue Type A,5.288829551
75,Glue Type A,6.947776609
60,Glue Type B,10.02429386
50,Glue Type B,11.09207068
40,Glue Type B,11.76910791
50,Glue Type B,11.82871028
40,Glue Type B,13.16637713
60,Glue Type A,8.712271523
60,Glue Type A,8.184718198
50,Glue Type A,10.94228362
40,Glue Type B,12.69131313
50,Glue Type A,9.663283272
75,Glue Type B,8.346102795
60,Glue Type B,9.767222796
50,Glue Type B,10.72766711
60,Glue Type A,6.391270777
60,Glue Type B,8.711382826
60,Glue Type A,7.492494461
75,Glue Type B,10.50170059
50,Glue Type B,11.20983819
50,Glue Type B,9.993940405
50,Glue Type B,9.435682488
75,Glue Type A,6.901394133
60,Glue Type A,8.017510827
75,Glue Type B,7.816508646
40,Glue Type B,12.3373237
60,Glue Type A,8.428453457
75,Glue Type A,6.004303059
40,Glue Type B,13.04862638
60,Glue Type A,8.477982986
75,Glue Type B,7.832239727
75,Glue Type B,7.3663754
75,Glue Type A,6.742022646
60,Glue Type B,9.307553824
40,Glue Type A,12.31024105
